                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3162,                 4.3459,                  1.601,                0.33241,                0.07652,                0.04395,                0.02453,                 1.4934,                 3.6664,                 1.9107,              0.0033276,              0.0033276,              0.0033276
                      2,                 1.4127,                 3.5398,                 1.7012,                0.28123,                0.23692,                0.13926,                0.07681,                 1.5715,                 3.2139,                 1.9109,               0.006595,               0.006595,               0.006595
                      3,                 1.4674,                 3.1742,                 1.6969,                0.22786,                0.21616,                0.12071,                0.06244,                 1.6383,                 3.2089,                 1.9552,              0.0097963,              0.0097963,              0.0097963
                      4,                  1.494,                  3.055,                 1.6962,                0.27122,                0.24588,                0.14433,                0.08161,                 1.5966,                 2.9699,                 1.8642,               0.009703,               0.009703,               0.009703
                      5,                 1.4634,                 2.8304,                 1.6559,                0.29507,                0.31749,                0.23967,                0.13402,                 1.5409,                 2.5104,                 1.7506,               0.009604,               0.009604,               0.009604
                      6,                  1.436,                 2.6534,                  1.628,                0.35819,                0.31301,                0.26698,                0.14586,                 1.5367,                 2.4401,                 1.8008,               0.009505,               0.009505,               0.009505
                      7,                 1.4248,                 2.5109,                 1.6115,                0.37622,                0.39599,                0.32625,                0.18505,                  1.519,                 2.4105,                 1.7587,               0.009406,               0.009406,               0.009406
                      8,                 1.4038,                 2.3664,                  1.592,                0.43953,                0.41228,                0.37382,                0.22357,                 1.4352,                  2.097,                 1.6846,               0.009307,               0.009307,               0.009307
                      9,                 1.3882,                  2.255,                 1.5759,                 0.4025,                0.38358,                0.35363,                0.20357,                 1.4714,                 2.1815,                 1.7184,               0.009208,               0.009208,               0.009208
                     10,                 1.3821,                 2.1818,                 1.5731,                0.45581,                0.43746,                0.42012,                0.25284,                 1.4293,                 1.9567,                 1.6733,               0.009109,               0.009109,               0.009109
