                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3321,                 3.5357,                 1.5445,                   0.47,                0.35903,                0.33113,                0.19747,                 1.4424,                 2.3343,                 1.6594,             0.00011068,             0.00011068,             0.00011068
                      2,                 1.3405,                 2.5179,                 1.5226,                0.49748,                0.45105,                0.43754,                 0.2583,                 1.3985,                 1.9608,                 1.6212,              0.0002143,              0.0002143,              0.0002143
                      3,                 1.3098,                 2.2146,                 1.4919,                0.52146,                0.48275,                0.47624,                0.29169,                  1.365,                 1.9125,                 1.5868,             0.00031052,             0.00031052,             0.00031052
                      4,                 1.3025,                 2.0614,                 1.4747,                0.54242,                0.48968,                0.50272,                 0.3075,                 1.3828,                 1.7932,                 1.5803,             0.00029973,             0.00029973,             0.00029973
                      5,                 1.2851,                 1.9509,                 1.4593,                0.58556,                0.53961,                 0.5556,                0.34127,                 1.3696,                 1.6584,                 1.5606,             0.00028864,             0.00028864,             0.00028864
                      6,                 1.2703,                 1.8446,                 1.4389,                0.61832,                0.55226,                0.58648,                 0.3679,                 1.3432,                 1.5522,                  1.529,             0.00027756,             0.00027756,             0.00027756
                      7,                 1.2556,                 1.7556,                 1.4186,                0.64136,                0.53859,                0.59461,                0.37002,                 1.3282,                 1.5529,                 1.5139,             0.00026647,             0.00026647,             0.00026647
                      8,                 1.2563,                 1.6934,                 1.4197,                0.66212,                0.57806,                0.63042,                  0.394,                 1.3189,                 1.4449,                 1.5033,             0.00025538,             0.00025538,             0.00025538
                      9,                 1.2405,                 1.6328,                 1.4089,                0.67813,                0.57985,                0.63832,                0.40012,                 1.3148,                 1.4033,                 1.5175,             0.00024429,             0.00024429,             0.00024429
                     10,                 1.2364,                 1.5766,                 1.4045,                0.69397,                0.60755,                0.66995,                0.42504,                 1.3213,                 1.3498,                  1.496,              0.0002332,              0.0002332,              0.0002332
                     11,                  1.216,                 1.5387,                 1.3918,                0.70037,                0.62767,                 0.6915,                0.44314,                 1.2917,                 1.2777,                 1.4818,             0.00022211,             0.00022211,             0.00022211
                     12,                 1.2146,                 1.4728,                 1.3884,                0.70338,                0.65085,                0.69385,                0.43769,                  1.299,                 1.2567,                 1.4761,             0.00021102,             0.00021102,             0.00021102
                     13,                 1.2101,                 1.4347,                 1.3779,                 0.7314,                0.64236,                0.71462,                0.45774,                 1.2893,                 1.2299,                 1.4865,             0.00019993,             0.00019993,             0.00019993
                     14,                 1.1958,                 1.3837,                 1.3641,                0.72909,                0.64535,                0.71214,                0.45225,                 1.2879,                 1.2175,                 1.4687,             0.00018884,             0.00018884,             0.00018884
                     15,                 1.1951,                 1.3665,                 1.3684,                0.71644,                0.69296,                 0.7366,                0.47162,                 1.2814,                 1.1704,                 1.4534,             0.00017776,             0.00017776,             0.00017776
                     16,                 1.1762,                 1.3144,                 1.3518,                0.77157,                0.66292,                0.74978,                0.48122,                 1.2746,                  1.135,                 1.4585,             0.00016667,             0.00016667,             0.00016667
                     17,                 1.1761,                  1.296,                 1.3546,                0.71139,                0.69929,                0.73223,                0.46387,                 1.2799,                 1.1355,                 1.4475,             0.00015558,             0.00015558,             0.00015558
